home,vis,home_score,vis_score,quarter,time,home_mline,vis_mline
CLE,CHA,,,,,-165,145
ORL,IND,,,,,115,-135
PHI,NY,,,,,-550,400
MIL,MIA,,,,,-190,160
NO,SAC,,,,,-255,205
HOU,UTA,,,,,800,-1375
DEN,OKC,,,,,-1375,800
PHO,POR,,,,,-600,435
CLE,CHA,2,0,1,11:50,-170,140
ORL,IND,0,0,1,11:42,110,-140
CLE,CHA,3,0,1,11:39,-210,165
ORL,IND,2,2,1,11:14,110,-140
CLE,CHA,3,0,1,11:26,-220,170
ORL,IND,4,2,1,10:42,-115,-115
PHI,NY,,,,,-525,385
MIL,MIA,,,,,-170,150
NO,SAC,,,,,-235,190
CLE,CHA,5,0,1,10:47,-245,185
ORL,IND,6,2,1,10:35,-120,-110
CLE,CHA,5,3,1,10:18,-195,155
ORL,IND,7,4,1,10:11,-125,-105
CLE,CHA,5,5,1,9:53,-160,130
ORL,IND,7,4,1,9:53,-110,-120
CLE,CHA,5,7,1,9:51,-175,145
ORL,IND,7,6,1,9:20,105,-135
CLE,CHA,7,7,1,9:28,-185,150
ORL,IND,7,6,1,9:01,100,-130
CLE,CHA,9,7,1,8:54,-220,170
ORL,IND,7,6,1,9:01,105,-135
CLE,CHA,9,7,1,8:41,-265,200
ORL,IND,11,8,1,8:31,-105,-125
CLE,CHA,11,10,1,8:28,-220,170
ORL,IND,13,8,1,8:07,-115,-115
CLE,CHA,13,10,1,7:58,-235,180
ORL,IND,13,8,1,7:45,-125,-105
CLE,CHA,13,10,1,7:49,-210,165
ORL,IND,16,8,1,7:28,-140,110
CLE,CHA,13,12,1,7:47,-210,165
CLE,CHA,13,12,1,7:36,-220,170
CLE,CHA,13,12,1,7:24,-220,170
CLE,CHA,13,14,1,7:10,-220,170
CLE,CHA,15,14,1,6:49,-220,170
ORL,IND,16,8,1,7:31,-140,110
CLE,CHA,15,14,1,6:35,-265,200
ORL,IND,16,8,1,7:11,-135,105
ORL,IND,16,8,1,7:07,-140,110
ORL,IND,18,8,1,6:48,-150,120
CLE,CHA,15,14,1,6:35,-235,180
ORL,IND,18,9,1,6:39,-140,110
CLE,CHA,15,14,1,6:35,-220,170
ORL,IND,18,10,1,6:37,-130,100
ORL,IND,21,10,1,6:07,-150,120
CLE,CHA,15,14,1,6:01,-220,170
ORL,IND,21,10,1,5:28,-160,130
CLE,CHA,15,15,1,6:01,-220,170
ORL,IND,21,10,1,4:54,-155,125
CLE,CHA,18,16,1,5:51,-255,190
ORL,IND,21,12,1,4:39,-165,135
CLE,CHA,18,18,1,5:24,-235,180
CLE,CHA,20,21,1,4:50,-210,165
CLE,CHA,20,23,1,4:16,-175,145
CLE,CHA,20,23,1,3:45,-200,160
PHI,NY,,,,,-490,360
MIL,MIA,,,,,-180,155
CLE,CHA,20,23,1,3:21,-195,155
CLE,CHA,21,23,1,3:21,-210,165
ORL,IND,21,12,1,4:14,-155,125
